epoch,out_0,out_1,step,train_loss
24,0.08978134393692017,0.09307270497083664,49,0.8225170969963074
49,0.10467863082885742,0.1074194386601448,99,0.7967000603675842
74,0.12119090557098389,0.12324971705675125,149,0.7686910629272461
99,0.1392475962638855,0.14048735797405243,199,0.7387619614601135
124,0.15866971015930176,0.1589631289243698,249,0.7073429822921753
149,0.1791761815547943,0.17842356860637665,299,0.67498779296875
174,0.20040149986743927,0.19854795932769775,349,0.6423254013061523
199,0.22192823886871338,0.21897698938846588,399,0.6099969744682312
224,0.24332821369171143,0.23934665322303772,449,0.5785935521125793
249,0.26420262455940247,0.25932034850120544,499,0.548606276512146
274,0.28421446681022644,0.27861467003822327,549,0.5203968286514282
299,0.30310651659965515,0.2970125377178192,599,0.49419131875038147
324,0.320704847574234,0.31436628103256226,649,0.47009360790252686
349,0.3369131088256836,0.330592542886734,699,0.4481063783168793
374,0.3516985774040222,0.3456609547138214,749,0.42815962433815
399,0.36507707834243774,0.35958248376846313,799,0.41013458371162415
424,0.3770977258682251,0.37239745259284973,849,0.3938849866390228
449,0.3878309726715088,0.3841652274131775,899,0.37925246357917786
474,0.39735811948776245,0.39495646953582764,949,0.3660776615142822
499,0.40576452016830444,0.40484678745269775,999,0.3542073369026184
524,0.41313427686691284,0.41391316056251526,1049,0.3434978127479553
549,0.41954725980758667,0.42223086953163147,1099,0.3338172137737274
574,0.42507681250572205,0.42987167835235596,1149,0.3250463008880615
599,0.42978858947753906,0.4369031488895416,1199,0.3170780837535858
624,0.43374037742614746,0.4433884918689728,1249,0.3098163902759552
649,0.43698129057884216,0.44938579201698303,1299,0.30317604541778564
674,0.43955230712890625,0.4549494981765747,1349,0.29708003997802734
699,0.4414854049682617,0.460129052400589,1399,0.29146066308021545
724,0.44280436635017395,0.4649708867073059,1449,0.28625616431236267
749,0.44352373480796814,0.4695182740688324,1499,0.2814108431339264
774,0.4436493515968323,0.473812073469162,1549,0.27687370777130127
799,0.44317713379859924,0.47789159417152405,1599,0.27259722352027893
824,0.4420929253101349,0.48179513216018677,1649,0.2685362994670868
849,0.44037020206451416,0.48556065559387207,1699,0.26464784145355225
874,0.43796974420547485,0.4892275333404541,1749,0.2608885169029236
899,0.43483665585517883,0.49283716082572937,1799,0.25721412897109985
924,0.4308980405330658,0.49643486738204956,1849,0.2535778284072876
949,0.42605867981910706,0.5000719428062439,1899,0.2499280571937561
974,0.42019709944725037,0.5038081407546997,1949,0.2462063580751419
999,0.4131599962711334,0.507715106010437,1999,0.2423444241285324
1024,0.4047544598579407,0.511881411075592,2049,0.23825976252555847
1049,0.39474061131477356,0.5164175033569336,2099,0.23385202884674072
1074,0.3828233480453491,0.5214639902114868,2149,0.22899670898914337
1099,0.36864611506462097,0.5271991491317749,2199,0.22354064881801605
1124,0.3517913520336151,0.5338495969772339,2249,0.21729619801044464
1149,0.33179858326911926,0.5416958928108215,2299,0.21004265546798706
1174,0.3082171380519867,0.5510728359222412,2349,0.20153559744358063
1199,0.28071820735931396,0.562349796295166,2399,0.19153770804405212
1224,0.24929308891296387,0.5758810043334961,2449,0.1798769235610962
1249,0.21452441811561584,0.5919099450111389,2499,0.16653749346733093
1274,0.17783384025096893,0.6104373335838318,2549,0.151759073138237
1299,0.1414990872144699,0.6310977935791016,2599,0.13608883321285248
1324,0.10822061449289322,0.6531302332878113,2649,0.12031863629817963
1349,0.0802702084183693,0.6755114197731018,2699,0.10529284179210663
1374,0.05868831276893616,0.6972193717956543,2749,0.09167610853910446
1399,0.04311719536781311,0.7174893021583557,2799,0.07981229573488235
1424,0.03231868892908096,0.7359201312065125,2849,0.06973817944526672
1449,0.024881476536393166,0.7524254322052002,2899,0.061293166130781174
1474,0.01966295763850212,0.7671137452125549,2949,0.05423600599169731
1499,0.0158877894282341,0.7801795601844788,2999,0.04832102730870247
1524,0.013072255067527294,0.7918353080749512,3049,0.043332539498806
1549,0.010918248444795609,0.8022787570953369,3099,0.03909368813037872
1574,0.009235545992851257,0.8116826415061951,3149,0.035463426262140274
1599,0.007897431962192059,0.8201936483383179,3199,0.03233032301068306
1624,0.006817136891186237,0.827934741973877,3249,0.029606452211737633
1649,0.0059340279549360275,0.8350085020065308,3299,0.027222193777561188
1674,0.005203303415328264,0.8415010571479797,3349,0.025121914222836494
1699,0.004592906683683395,0.8474844694137573,3399,0.02326098643243313
1724,0.004077591467648745,0.8530194759368896,3449,0.02160327509045601
1749,0.0036393506452441216,0.8581579923629761,3499,0.020119154825806618
1774,0.003263425314798951,0.8629435300827026,3549,0.018784476444125175
1799,0.0029395627789199352,0.8674139380455017,3599,0.017579063773155212
1824,0.0026584689039736986,0.871601402759552,3649,0.01648619957268238
1849,0.00241266586817801,0.875534176826477,3699,0.01549174077808857
1874,0.0021971857640892267,0.8792365193367004,3749,0.01458381861448288
1899,0.0020071659237146378,0.8827295303344727,3799,0.013752362690865993
1924,0.0018386157462373376,0.8860321044921875,3849,0.012988680973649025
1949,0.0016887233359739184,0.8891603350639343,3899,0.012285430915653706
1974,0.0015548522351309657,0.8921291828155518,3949,0.011636112816631794
1999,0.001434980076737702,0.8949512243270874,3999,0.011035244911909103
